Question ID,Question,RAG Answer,Reference Answer,LLM Model,Embedding Model,Chunk Size,Context Quality (1-5),Answer Relevance (1-5),Answer Correctness (1-5),Faithfulness to Context (1-5),Notes
1,1. Wie hoch darf ein Gebäude in Bauklasse I gemäß Artikel IV in Wien sein?," 2,5 m bis höchstens 9 m","1. Ein Gebäude in Bauklasse I darf maximal 7,50 Meter hoch sein.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
2,2. Welche maximale Dachneigung ist in Gartensiedlungsgebieten zulässig in Wien?, 25°,2. Die maximale Dachneigung beträgt 25 Grad.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
3,3. Wie lautet die Definition von Einkaufszentren nach der Bauordnung der Stadt Wien?,"definiert als Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren bestimmt sind","3. Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
4,4. Wie weit dürfen Keller- und Grundmauern vor der Baulinie oder Straßenfluchtlinie hervorragen?, Keller- und Grundmauern dürfen bis zu 20 cm vor der Baulinie oder Straßenfluchtlinie hervorragen.,4. Laut §83 1 a dürfen sie 20cm hervorragen.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
5,5. Mein Bauwerk überschreitet die Höhe von 26m mit einer Bauhöhe von 30m. Kann ich dafür ein vereinfachtes Baubewilligungsverfahren erhalten?,"Nein, da Ihr Bauwerk eine Höhe von mehr als 26m hat und somit nicht unter das vereinfachte Baubewilligungsverfahren fällt.","5. Nein, laut §70a Vom vereinfachten Baubewilligungsverfahren ausgenommen sind:9. Bauwerke, deren Höhe 26 m überschreitet;",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
6,6. Wie viel Abstand muss zwischen meinem Fenster und den Grenzen des Nachbagrundstücks sein?, 2 m,6. §79 Abs 2: Der Abstand muss 2 meter von der Grenze sein außer bei öffentlichen Erholungsflächen.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
7,7. Darf ich in Wien einen Werkzeugschupppen auf meinem als Baufläche gewidmeten Grundstück errichten. Der Schuppen soll 2 mal 3 Meter groß und 2 Meter hoch werden.," Nein, das ist nicht möglich.","7. Nein, das darfst du nicht, weil §62a Abs 1 Z 5 WBauO.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
8,"8. Ich möchte auf einem Grundstück der Bauklasse I ein Haus bauen. Das Haus hat an der Oberfläche einen Grundriss von 250 m², unterirdisch wird jedoch ein großer Weinkeller mit 360 m² Grundriss gebaut. Ist dieser Bau zulässig?"," Nein, da die bebaute Fläche von Gebäuden in der Bauklasse I nicht mehr als 350 m2 betragen darf.","8. Mit 250 m² sind wir nach §76 Abs 10 noch in der maximalen Bebauung in der Bauklasse 1, der Keller zählt nach §80 nicht dazu, wäre aber oberirdisch zu groß",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
9,"9. Ich habe auf meinen Grundstück einen Bauplatz bewilligen lassen. Die Stadt Wien sagt, ich muss davon einen Teil abtreten, um den Ausbau der Straße zu ermöglichen. Bekomme ich dafür eine Entschädigung?",definitely,"9. Nach §17 BauO besteht eine Verpflichtung zur Abtretung von ""nach Maßgabe der Baulinien zu den Verkehrsflächen entfallenden Grundflächen bei beiderseitiger Bebauungsmöglichkeit bis zur Achse der Verkehrsfläche, bei einseitiger Bebauungsmöglichkeit bis zur ganzen Breite der Verkehrsfläche, in beiden Fällen aber nur bis zu 20 m, senkrecht zur Baulinie und von dieser aus gemessen"" bei Schaffung von neuen Bauplätzen. Dieser Übertrag ist lastenfrei und entgeltlos durchzuführen, soweit nach Abs 5 die Abtretung nicht mehr als 30 % der Fläche beträgt.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
10,10. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 50 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?," Ein Gehsteig in einfachster Ausführung muss hergestellt werden, jedoch nur in einer Breite von höchstens 1,50 m.","10. Ein Schwimmbad mit 50m³ (vorausgesetzt die anderen Anforderungen sind auch erfüllt: Abstand von mindestens 3 m von Nachbargrenzen sowie oberste Abschluss des Beckens nicht mehr als 1,50 m über dem angrenzenden Gelände) braucht nach §62a Z 22 keine Bewilligung, daher auch keine Fertigstellungsanzeige nach §128 Abs 1.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
