Question ID,LLM Model,Embedding Model,Chunk Size,Context Quality,Answer Relevance,Answer Correctness,Faithfulness to Context,Notes
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,3,4,2,5,"Incorrect height (3.5 m vs. 7.5 m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,5,5,5,5,"Perfect match"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,4,5,4,4,"Missing area thresholds"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,5,5,5,5,"Accurate"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,4,4,2,3,"Wrong area-based exclusion instead of height"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,5,5,4,4,"Misses recreation-area exception"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,3,2,1,1,"Incorrectly permits a forbidden shed"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,4,5,2,3,"Incorrect area interpretation"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,3,2,1,1,"Wrong yes‑no response"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,3,3,1,1,"Fabricated sidewalk/area specs"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,3,3,1,1,"Irrelevant rule for ≤ 60 m³ instead of notification"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,3,4,2,5,"Incorrect height range (2.5 m–9 m vs. 7.5 m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,5,5,5,5,"Correct maximum roof pitch"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,4,5,4,4,"Missing area thresholds (1 600 m²/1 000 m²)"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,5,5,5,5,"Accurate protrusion limit"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,5,5,5,5,"Correct exclusion by height (> 26 m)"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,5,5,4,4,"Misses exception for public recreation areas"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,5,5,5,5,"Correct prohibition"
