Question ID,LLM Model,Embedding Model,Chunk Size,Context Quality,Answer Relevance,Answer Correctness,Faithfulness to Context,Notes
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,2,4,2,3,"Incorrect height (3.5m vs. 7.5m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,5,5,5,5,"Perfect match to reference"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,4,5,4,5,"Nearly complete definition, missing only size specifications"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,5,5,5,5,"Accurate and complete answer"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,3,4,3,3,"Correct conclusion but with incorrect reasoning"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,5,5,5,5,"Precise answer matching reference"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,2,5,1,1,"Answer contradicts reference completely"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,3,5,3,3,"Incorrect reasoning about why the construction isn't permitted"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,2,3,1,1,"One-word answer ('definitely') contradicts reference"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,2,3,1,1,"Incorrect answer about sidewalk when no action is needed"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,3,3,3,3,"Contains some correct info but doesn't specify Fertigstellungsanzeige"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,3,4,2,4,"Incorrect height (9m vs. 7.5m), but otherwise responsive"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,5,5,5,5,"Perfect match to reference answer"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,3,4,3,4,"Partial definition missing size requirements"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,5,5,5,5,"Accurate and complete answer"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,5,5,5,5,"Precise answer matching reference"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,3,5,1,1,"Completely contradicts reference answer"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,3,5,3,3,"Partially incorrect reasoning - correctly identifies issue with size but with wrong explanation"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,2,3,1,1,"One-word answer ('definitely') contradicts reference - no compensation is provided"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,2,3,1,1,"Incorrect answer about gehsteig (sidewalk) when no action is needed"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,3,3,2,2,"Provides incorrect requirements, missing the need for Fertigstellungsanzeige"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,3,4,2,3,"Incorrect height (9m vs. 7.5m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,5,5,5,5,"Perfect match to reference"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,4,5,4,5,"Nearly complete definition, missing only specific size details"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,5,5,5,5,"Accurate and complete answer"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,3,5,5,4,"Correct conclusion but vague explanation"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,5,5,5,5,"Precise answer matching reference"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,2,5,1,1,"Completely contradicts reference"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,3,5,3,3,"Incorrect reasoning about why the construction isn't permitted"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,2,3,1,1,"One-word answer ('definitely') contradicts reference"
